0,24830
1,35070
2,23806
3,18686
4,24830
5,15614
6,20734
7,17662
8,30974
9,28926
10,17661
11,39165
12,2302
13,11517
14,31997
15,55548
16,10493
17,9469
18,52476
19,47356
20,45308
21,54524
22,56572
23,53500
24,50428
25,39164
26,38140
27,48380
28,41212
29,40188
30,45308
31,47356
32,46332
33,36092
34,41212
35,17415
36,19463
37,18439
38,17415
39,21511
40,14343
41,18439
42,17415
43,13319
44,17415
45,15367
46,18439
47,14343
48,14343
49,20487
50,10247
51,14343
52,13319
53,15367
54,16391
55,15367
56,16391
57,14343
58,11271
59,16391
60,12295
61,12295
62,15367
63,13319
64,17415
65,14343
66,16391
67,18439
68,11271
69,16391
70,12295
71,16391
72,14343
73,12295
74,17415
75,9223
76,15367
77,14343
78,15367
79,15367
80,11271
81,15367
82,9223
83,16391
84,12295
85,31751
86,20487
87,13319
88,5127
89,35847
90,35847
91,53255
92,37895
93,39943
94,10247
95,8199
96,20487
97,53255
98,52230
99,1031
100,37894
101,57350
102,63494
103,62469
104,5126
105,45061
106,46085
107,62469
108,45061
109,45061
110,23557
111,33797
112,37893
113,25605
114,31749
115,29702
116,24582
117,48133
118,23557
119,26630
120,44035
121,64516
122,9221
123,49155
124,40963
125,11267
126,56322
127,25602
128,3075
129,28675
130,59394
131,59394
132,45058
133,32770
134,10243
135,53248
136,51200
137,63743
138,52226
139,50177
140,36869
141,57349
142,22532
143,16392
144,33800
145,5121
146,64512
147,3327
148,58623
149,45056
150,15611
151,17661
152,53501
153,29945
154,20729
155,57590
156,43256
157,17657
158,41202
159,8434
160,25854
161,29949
162,3323
163,52478
164,31998
165,42238
166,55550
167,56574
168,14590
169,44286
170,13564
171,55548
172,36093
173,46332
174,41212
175,36093
176,2301
177,21757
178,38140
179,40189
180,29707
181,29706
182,21514
183,32779
184,51211
185,53252
186,10248
187,44042
188,29699
189,1028
190,23556
191,3
192,34818
193,25607
194,46085
195,55304
196,3081
197,17416
198,43016
199,1033
200,25607
201,52231
202,29704
203,3079
204,1031
205,34823
206,27655
207,22535
208,35847
209,45063
210,20487
211,24583
212,32775
213,20487
214,16391
215,11271
216,14343
217,19463
218,23559
219,15367
220,36871
221,28679
222,32775
223,29703
224,24583
225,23559
226,25607
227,24583
228,21511
229,18439
230,4096
231,16384
232,17408
233,63743
234,2048
235,61695
236,63743
237,63743
238,59647
239,59647
240,59647
241,60671
242,61695
243,11264
244,60671
245,4096
246,53503
247,62719
248,0
249,63743
250,58623
251,59647
252,61695
253,61695
254,59647
255,56575
256,58623
257,61695
258,51455
259,54527
260,52479
261,51455
262,54527
263,51455
264,50431
265,51455
266,51455
267,50431
268,43263
269,53503
270,56575
271,50431
272,9216
273,56575
274,49407
275,48383
276,50431
277,52479
278,48383
279,50431
280,45311
281,45311
282,46335
283,42239
284,42239
285,46335
286,45311
287,44287
288,45311
289,46335
290,47359
291,45311
292,47359
293,52479
294,41215
295,22783
296,28927
297,34047
298,13567
299,20735
300,60670
301,2303
302,1279
303,54526
304,58622
305,51454
306,50430
307,51454
308,60670
309,58622
310,54526
311,1279
312,60670
313,5372
314,14590
315,5362
316,31991
317,38138
318,13564
319,27889
320,245
321,15609
322,52479
323,23801
324,19705
325,8442
326,40177
327,9459
328,46326
329,39158
330,17637
331,23783
332,64750
333,49397
334,3072
335,49398
336,8441
337,4341
338,31990
339,5364
340,10487
341,3320
342,24825
343,61674
344,25841
345,38133
346,25854
347,5354
348,6394
349,44280
350,26874
351,7419
352,14583
353,4344
354,59641
355,63728
356,2279
357,55539
358,49398
359,17658
360,25849
361,17659
362,35065
363,29947
364,46329
365,10492
366,64762
367,62716
368,20725
369,25850
370,61689
371,18675
372,13554
373,13564
374,52476
375,31996
376,250
377,43258
378,22778
379,15610
380,43244
381,14579
382,10489
383,46327
384,49387
385,40188
386,44283
387,47351
388,15360
389,25854
390,3072
391,47359
392,21759
393,40191
394,41215
395,22783
396,11519
397,28927
398,29951
399,39167
400,33023
401,43263
402,37119
403,44287
404,49407
405,34047
406,55551
407,54527
408,36095
409,40191
410,43263
411,49407
412,48383
413,18687
414,38143
415,23807
416,20735
417,18687
418,20735
419,18687
420,25855
421,26879
422,20735
423,19711
424,30975
425,5375
426,10495
427,10495
428,22783
429,23807
430,20735
431,10495
432,19711
433,16639
434,13567
435,6399
436,12543
437,15615
438,10495
439,8447
440,20735
441,15615
442,18687
443,15615
444,18687
445,8447
446,5375
447,9471
448,12543
449,8447
450,13567
451,13567
452,13567
453,61694
454,15615
455,62718
456,15615
457,3327
458,4351
459,9471
460,6399
461,4351
462,7423
463,8447
464,6399
465,255
466,4351
467,7423
468,255
469,63742
470,3327
471,4351
472,2303
473,3327
474,1279
475,3327
476,3327
477,4351
478,64766
479,3327
480,57598
481,15615
482,64766
483,2303
484,63742
485,2303
486,3327
487,1279
488,3327
489,6399
490,6399
491,5375
492,5375
493,2303
494,6399
495,255
496,255
497,63742
498,2303
499,2303
500,64766
501,6399
502,3327
503,57598
504,57598
505,62718
506,16639
507,56574
508,1279
509,59646
510,255
511,62718
512,2303
513,62718
514,63742
515,60670
516,63742
517,64766
518,61694
519,58622
520,62718
521,63742
522,63742
523,59646
524,58622
525,2303
526,64766
527,63742
528,2303
529,5375
530,59646
531,58622
532,62718
533,63742
534,11519
535,63742
536,61694
537,44286
538,255
539,63742
540,63742
541,2303
542,2303
543,52478
544,52478
